date,Open,High,Low,Close,Adj Close,Volume,Return,Volatility,CPI,ZEW_Sentiment,ZEW_Situation,Bond_Yield,EURUSD,Unemployment,GDP
2023-04-01,15623.45,15922.38,15482.88,15922.38,15922.38,1230000900.0,0.018607741301614952,0.2965753779410661,122.9295,4.1,-32.5,2.359444444,1.0962,3.0,0.06921
2023-05-01,15950.36,16331.94,15629.12,15664.02,15664.02,1515731000.0,-0.016359304129624327,0.2657286232536899,122.8241,-10.7,-34.8,2.342272727,1.0867,3.0,0.06921
2023-06-01,15744.01,16427.42,15713.7,16147.9,16147.9,1657208000.0,0.0304236476537409,0.26560477339114424,123.1404,-8.5,-56.5,2.376363636,1.084,3.0,0.06921
2023-07-01,16187.91,16528.97,15456.16,16446.83,16446.83,1335165400.0,0.0183427432200263,0.2644589455920962,123.4566,-14.7,-59.5,2.456666667,1.1067,3.1,-0.32985
2023-08-01,16414.79,16430.66,15468.65,15947.08,15947.08,1354111400.0,-0.030857013103383714,0.2662852020224942,123.8784,-12.3,-71.3,2.545652174,1.091,3.1,-0.32985
2023-09-01,15936.34,15989.3,15138.66,15386.58,15386.58,1478334200.0,-0.03578003943724858,0.25589010082928176,124.1946,-11.4,-79.4,2.661428571,1.0672,3.1,-0.32985
2023-10-01,15439.96,15575.28,14630.21,14810.34,14810.34,1510326000.0,-0.03817011545618517,0.2586849223443002,124.1946,-1.1,-79.9,2.823181818,1.0565,3.1,-0.18843
2023-11-01,14851.96,16262.96,14786.32,16215.43,16215.43,1623479000.0,0.09063767258586994,0.2738341586503718,123.6675,9.8,-79.8,2.601363636,1.0819,3.2,-0.18843
2023-12-01,16296.92,17003.28,16279.45,16751.64,16751.64,1316521100.0,0.032532905862687755,0.2755312461342991,123.7729,12.8,-77.1,2.102105263,1.0909,3.2,-0.18843
2024-01-01,16828.75,16999.58,16345.02,16903.76,16903.76,1469221100.0,0.009039918464043442,0.27560161524487636,123.9838,15.2,-77.3,2.174545455,1.0899,3.3,-0.09766
2024-02-01,16834.13,17742.48,16821.6,17678.19,17678.19,1473538600.0,0.044795594013185586,0.27839052024777927,124.5109,19.9,-81.7,2.331904762,1.0793,3.3,-0.09766
2024-03-01,17793.47,18513.83,17619.4,18492.49,18492.49,1555272300.0,0.04503302731682151,0.2780875428801108,125.0381,31.7,-80.5,2.3495,1.087,3.3,-0.09766
2024-04-01,18492.36,18567.16,17626.9,17932.17,17932.17,1554583300.0,-0.030768397212961218,0.2796008212269086,125.6706,42.9,-79.2,2.445714286,1.0724,3.3,-0.24093
2024-05-01,17935.78,18892.92,17875.98,18497.94,18497.94,1491744800.0,0.031063068025894824,0.2772318690208435,125.7761,47.1,-72.3,2.519545455,1.081,3.4,-0.24093
2024-06-01,18503.79,18784.65,17951.17,18235.45,18235.45,1331569800.0,-0.014291872759370314,0.27418467588715284,125.8815,47.5,-73.8,2.4845,1.0763,3.4,-0.24093
2024-07-01,18236.35,18779.4,18030.49,18508.65,18508.65,1184268300.0,0.0148706886026575,0.27245992235475475,126.3032,41.8,-68.9,2.45826087,1.0847,3.4,-0.32619
2024-08-01,18432.5,18970.71,17024.82,18906.92,18906.92,1019460800.0,0.02128980224353928,0.2619478868007504,126.1978,19.2,-77.3,2.207727273,1.102,3.4,-0.32619
2024-09-01,18913.53,19491.93,18208.84,19324.93,19324.93,1393399300.0,0.02186797959622309,0.26194571038173975,126.1978,3.6,-84.5,2.167142857,1.1104,3.5,-0.32619
2024-10-01,19409.39,19674.68,18911.72,19077.54,19077.54,1217257300.0,-0.012884245325716913,0.26092964552349374,126.7249,13.1,-86.9,2.229565217,1.0895,3.5,-0.15533
2024-11-01,19093.99,19640.15,18812.53,19626.45,19626.45,1415336600.0,0.02836641939916458,0.26137694732291694,126.4086,7.4,-91.4,2.305714286,1.0621,3.5,-0.15533
2024-12-01,19586.17,20522.82,19568.5,19909.14,19909.14,1114142900.0,0.014300776479112409,0.22499426168283365,127.0412,15.7,-93.1,2.178888889,1.0472,3.5,-0.15533
2025-01-01,19923.07,21800.52,19833.82,21732.05,21732.05,1419143600.0,0.08760920667276251,0.2335217290404267,126.8304,10.3,-90.4,2.483636364,1.0356,3.6,0.01907
