date,Open,High,Low,Close ,Adj Close ,Volume,Return,Volatality
1-Feb-23,"15,125.12","15,658.56","15,107.83","15,365.14","15,365.14","1,321,833,900",0.566537399,2.143951728
1-Jan-23,"13,992.71","15,269.71","13,976.44","15,128.27","15,128.27","1,263,845,700",0.044860875,2.093515926
1-Dec-22,"14,543.80","14,675.84","13,791.52","13,923.59","13,923.59","1,127,793,700",0.113895969,0.981627734
1-Nov-22,"13,344.85","14,571.66","13,022.64","14,397.04","14,397.04","1,461,310,400",-0.259070321,0.687377436
1-Oct-22,"11,951.84","13,307.09","11,893.94","13,253.74","13,253.74","1,403,077,100",0.040665814,0.68455571
1-Sep-22,"12,713.75","13,564.83","11,862.84","12,114.36","12,114.36","1,606,290,400",-0.135259668,0.521767389
1-Aug-22,"13,471.20","13,947.85","12,758.44","12,834.96","12,834.96","1,314,537,200",0.200442757,0.581677856
1-Jul-22,"12,627.66","13,515.03","12,390.95","13,484.05","13,484.05","1,515,787,000",-0.142450112,0.678709569
1-Jun-22,"14,478.37","14,709.38","12,618.68","12,783.77","12,783.77","1,720,357,100",-0.12659711,0.670495206
1-May-22,"13,996.82","14,589.45","13,380.67","14,388.35","14,388.35","1,803,058,400",-0.046952449,0.177281659
1-Apr-22,"14,447.78","14,603.44","13,566.20","14,097.88","14,097.88","1,651,641,200",0.087714874,0.375255076
1-Mar-22,"14,404.22","14,925.25","12,438.85","14,414.75","14,414.75","2,772,366,100",-0.517931683,1.101602904
1-Feb-22,"15,620.56","15,736.52","13,807.28","14,461.02","14,461.02","1,996,573,700",0.328268582,1.510449421
1-Jan-22,"15,947.44","16,285.35","14,952.67","15,471.20","15,471.20","1,662,241,200",0.183265749,1.567646994
1-Dec-21,"15,233.37","15,974.79","15,060.10","15,884.86","15,884.86","1,354,128,600",0.205008664,0.270893275
1-Nov-21,"15,764.55","16,290.19","15,015.42","15,100.13","15,100.13","1,635,891,100",-0.189029523,0.767258259
1-Oct-21,"15,041.60","15,781.00","14,818.71","15,688.77","15,688.77","1,349,471,100",0.192474933,0.775846426
1-Sep-21,"15,958.41","15,981.70","15,019.49","15,260.69","15,260.69","1,337,021,100",0.009268658,0.660957424
1-Aug-21,"15,631.70","16,030.33","15,492.58","15,835.09","15,835.09","1,034,321,500",0.256698423,0.444771142
1-Jul-21,"15,624.28","15,810.68","15,048.56","15,544.39","15,544.39","1,205,377,400",-0.153047057,0.714785616
1-Jun-21,"15,513.13","15,802.67","15,309.44","15,531.04","15,531.04","1,226,514,500",-0.017383694,0.723072491
1-May-21,"15,191.79","15,568.60","14,816.35","15,421.13","15,421.13","1,439,213,800",-0.159920585,0.278454875
1-Apr-21,"15,053.77","15,501.84","15,032.52","15,135.91","15,135.91","1,320,674,600",0.085954326,0.427668057
1-Mar-21,"13,962.43","15,029.70","13,868.20","15,008.34","15,008.34","1,794,389,200",-0.306522019,0.686999466
1-Feb-21,"13,559.94","14,169.49","13,518.45","13,786.29","13,786.29","1,438,588,300",0.2210024,0.949270958
1-Jan-21,"13,890.22","14,131.52","13,310.95","13,432.87","13,432.87","1,557,733,500",-0.079569595,0.916660176
1-Dec-20,"13,371.66","13,903.11","13,009.48","13,718.78","13,718.78","1,360,090,900",0.135680344,0.536574158
1-Nov-20,"11,602.91","13,445.11","11,551.36","13,291.16","13,291.16","1,828,909,000",-0.296168078,0.747984625
1-Oct-20,"12,812.08","13,151.80","11,450.08","11,556.48","11,556.48","1,555,195,300",0.162118482,0.891312074
1-Sep-20,"13,037.20","13,460.46","12,341.58","12,760.73","12,760.73","1,617,666,600",-0.039383608,0.795698344
1-Aug-20,"12,374.46","13,221.82","12,365.61","12,945.38","12,945.38","1,260,622,200",0.249379332,0.5130333
1-Jul-20,"12,391.72","13,313.90","12,095.11","12,313.36","12,313.36","1,712,733,000",-0.306484932,0.963028797
1-Jun-20,"11,586.85","12,913.13","11,586.85","12,310.93","12,310.93","2,754,888,800",-0.475286739,1.31348395
1-May-20,"10,543.36","11,813.14","10,160.89","11,586.85","11,586.85","2,221,913,600",0.215008272,1.246560399
1-Apr-20,"9,610.67","11,235.57","9,337.02","10,861.64","10,861.64","2,507,299,800",-0.120837591,1.195770751
1-Mar-20,"12,030.27","12,272.99","8,255.65","9,935.84","9,935.84","4,826,748,300",-0.654966614,1.519830622
1-Feb-20,"13,033.17","13,795.24","11,724.12","11,890.35","11,890.35","2,231,747,600",0.771388055,2.49633654
